train_epoch,50
batch_size,64
lr,0.001
lr_decrease,multi_step
lr_warmup,1
total_epoch,5
weight_decay,0.0005
momentum,0.9
class_num,2
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
se_reduction,16
optim,sgd
method,patch_feature_l3_l4
teacher_modal,multi
teacher_data,multi
student_modal,rgb
student_data,multi_rgb
miss_modal,0
student_name,resnet18_se
init_mode,random
dataset,surf
protocol,race_prot_rdi_4@5
lambda_kd_logits,1.0
T,2.0
p,2.0
cuda,True
kd_mode,st
data_root,/home/bbb/shicaiwei/data/liveness_data/CASIA-SURF
gpu,2
patch_num,4
version,2
sift,0
lambda_kd_feature,100.0
name,surf_patch_feature_l3_l4_multi_multi_rgb_lr_0.001_version_2_lambda_100.0
modal,rgb
log_name,surf_patch_feature_l3_l4_multi_multi_rgb_lr_0.001_version_2_lambda_100.0.csv
model_name,surf_patch_feature_l3_l4_multi_multi_rgb_lr_0.001_version_2_lambda_100.0
0.0,0.319,0
1.6615797276059614,0.324,0
1.2367687302125072,0.753,0
0.8351271308015007,0.761,0
0.6140566254807351,0.826,0
0.5151075309541028,0.693,0
0.4727020298809984,0.892,0
0.4300273161658033,0.911,0
0.40975592698592805,0.918,0
0.3852279704861245,0.901,0
0.37649024700884215,0.908,0
0.37017339747805783,0.904,0
0.3609183586190361,0.835,0
0.3538461852672319,0.889,0
0.3458193774176477,0.894,0
0.3326557127018683,0.915,0
0.3304914125448752,0.915,0.915
0.3261285659787957,0.905,0.915
0.33073184173960873,0.933,0.933
0.32859206372083016,0.92,0.933
0.32568459323399973,0.901,0.933
0.3273083929737062,0.917,0.933
0.3236197273218476,0.926,0.933
0.32584642788078066,0.914,0.933
