train_epoch,50
batch_size,64
lr,0.001
lr_decrease,multi_step
total_epoch,5
weight_decay,0.0005
momentum,0.9
class_num,2
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
se_reduction,16
optim,sgd
method,patch_kd_multikd_avg_attention_sgd
teacher_modal,multi
teacher_data,multi
student_modal,rgb
student_data,multi_rgb
miss_modal,0
student_name,resnet18_se
init_mode,random
T,2.0
p,2.0
cuda,True
kd_mode,multi_st
dataset,surf
protocol,race_prot_rdi_4@5
data_root,/home/bigspace/shicaiwei//liveness_data/CASIA-SURF
gpu,2
version,1
lr_warmup,1
weight_patch,1
fc_mode,random
lambda_kd,0.4
name,surf_patch_kd_multikd_avg_attention_sgd_multi_multi_rgb_lr_0.001_version_1_lambda_kd_0.4_weight_patch_1
sift,0
modal,rgb
log_name,surf_patch_kd_multikd_avg_attention_sgd_multi_multi_rgb_lr_0.001_version_1_lambda_kd_0.4_weight_patch_1.csv
model_name,surf_patch_kd_multikd_avg_attention_sgd_multi_multi_rgb_lr_0.001_version_1_lambda_kd_0.4_weight_patch_1
9.311297395864429,0.681,0
9.316126571472035,0.681,0.681
8.308058943810941,0.762,0.762
4.912465361007957,0.755,0.762
3.661274358695251,0.775,0.775
3.2679870159865465,0.792,0.792
3.1415143507536842,0.838,0.838
3.012109726276981,0.849,0.849
2.920709193533685,0.809,0.849
2.910150758043647,0.875,0.875
2.8568817142836394,0.877,0.877
2.8104190264206266,0.889,0.889
2.7997079426544724,0.909,0.909
2.7976570551051845,0.887,0.909
2.7425319299947746,0.891,0.909
2.761976762109448,0.898,0.909
2.764232894739209,0.876,0.909
2.7867172409873864,0.918,0.918
2.7913325486224814,0.896,0.918
2.797826007724329,0.907,0.918
2.8241728015862178,0.881,0.918
2.8051941053836105,0.916,0.918
2.8120669748585296,0.922,0.922
2.8117118355488673,0.907,0.922
2.817753179104568,0.905,0.922
2.8287155831224533,0.923,0.923
2.8321057763682704,0.895,0.923
2.8224828654501635,0.902,0.923
2.8306795358657837,0.893,0.923
2.8230185487905444,0.892,0.923
2.8168029306236835,0.909,0.923
2.80442712296565,0.912,0.923
2.841847459301678,0.904,0.923
2.82981168494995,0.895,0.923
2.8360485700020104,0.904,0.923
2.846763329734969,0.906,0.923
2.81977599442786,0.906,0.923
2.846301312790167,0.903,0.923
2.8452497418790927,0.877,0.923
2.8074436156510267,0.903,0.923
2.8217107351690403,0.891,0.923
2.8105013386130855,0.908,0.923
2.8368146044718645,0.882,0.923
2.824958362954152,0.907,0.923
2.84782887077748,0.906,0.923
2.8089212944413897,0.895,0.923
2.824732644068622,0.901,0.923
2.8143128645992697,0.912,0.923
2.8316121949899666,0.9,0.923
2.8201509081640617,0.897,0.923
