train_epoch,50
batch_size,64
lr,0.001
lr_decrease,multi_step
total_epoch,5
weight_decay,0.0005
momentum,0.9
class_num,2
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
se_reduction,16
optim,sgd
method,patch_kd_multikd_avg_sgd
teacher_modal,multi
teacher_data,multi
student_modal,rgb
student_data,multi_rgb
miss_modal,0
student_name,resnet18_se
init_mode,random
T,2.0
p,2.0
cuda,True
kd_mode,multi_st
dataset,surf
protocol,race_prot_rdi_4@5
data_root,/home/bigspace/shicaiwei//liveness_data/CASIA-SURF
gpu,2
version,2
lr_warmup,1
weight_patch,0
fc_mode,random
lambda_kd,0.4
name,surf_patch_kd_multikd_avg_sgd_multi_multi_rgb_lr_0.001_version_2_lambda_kd_0.4_weight_patch_0
sift,0
modal,rgb
log_name,surf_patch_kd_multikd_avg_sgd_multi_multi_rgb_lr_0.001_version_2_lambda_kd_0.4_weight_patch_0.csv
model_name,surf_patch_kd_multikd_avg_sgd_multi_multi_rgb_lr_0.001_version_2_lambda_kd_0.4_weight_patch_0
1.7960125829975677,0.681,0
1.7984737061517206,0.681,0.681
1.119577624652063,0.758,0.758
0.7523224802777236,0.79,0.79
0.5907496637522394,0.773,0.79
0.534567724994697,0.845,0.845
0.5048226153225878,0.846,0.846
0.49003208080493726,0.753,0.846
0.4841661370607443,0.878,0.878
0.4984851707928045,0.884,0.884
0.49997735400907856,0.892,0.892
0.49143028298319685,0.901,0.901
0.5030544769816003,0.871,0.901
0.5130692578559359,0.901,0.901
0.5115901739316215,0.897,0.901
0.5099448730201179,0.903,0.903
0.5062204960522173,0.9,0.903
0.5168869099762763,0.905,0.905
0.5142730654066827,0.907,0.907
0.519768301901859,0.915,0.915
0.5265840364205264,0.906,0.915
0.522255906761994,0.895,0.915
0.5298804059689742,0.882,0.915
0.5230736437062509,0.886,0.915
0.526807494754354,0.889,0.915
0.5243488277540457,0.909,0.915
0.5284929241675997,0.892,0.915
0.5299971045104698,0.899,0.915
0.5244034502053365,0.891,0.915
0.5213807062550924,0.886,0.915
0.5242068095368589,0.89,0.915
0.5270208827012491,0.907,0.915
0.5229092445305862,0.888,0.915
0.5259215682094274,0.893,0.915
0.5249946808450607,0.908,0.915
0.5242793207345571,0.886,0.915
0.5255825090746692,0.904,0.915
0.5236754535847876,0.896,0.915
0.5209790792267396,0.9,0.915
0.5171856567849238,0.914,0.915
0.5221009883037301,0.895,0.915
0.5275446764116204,0.884,0.915
0.5204413514340288,0.905,0.915
0.5240816708214939,0.891,0.915
0.5261776981525547,0.906,0.915
0.5229257709594793,0.891,0.915
0.5217649661427503,0.891,0.915
0.5271356261323112,0.896,0.915
0.5249371855279764,0.905,0.915
0.5251307806984306,0.904,0.915
